,,,,,,service_mode,band_profile,line_type,rate_mode_up,rate_mode_dn,,,rate_dn_max,rate_up_max,rate_dn_min,rate_up_min,snr_dn_min,snr_up_min,snr_dn_target,snr_up_target,snr_dn_max,snr_up_max,,,,,,,,,latency_dn,latency_up,inp_dn,inp_up,pbo_dn,pbo_up,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2016,Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPBO ,,,,,,,,,G.INP ,,,,,,,,,,,,,
,,,,FOR ACTIVATION TEAMS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26AWG Distance,"Automation 
Name",ACTIVATION RATE,,"Service 
Mode","Band 
Profile","Line
 Type",Rate Mode,,Total Train Rate,,Target Train Rate,,Min Train Rate,,Min SNR,,Target SNR,,Max SNR,,Downshift SNR,,Upshift SNR,,Min Downshift Time,,Min Upshift Time,,Int Delay,,Min INP,,PBO,,G.INP,,Init Policy,,Band U1,,Band U2,,Band U3,,Band U4,,,Max NDR,,Min Delay,,Max Delay,,Min SHINE,,Min REIN,,REIN Arrival Time,,LEFTR,
NOTES,Profile,,,Down,UP,,,,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Paramater A,Parameter B,Paramater A,Parameter B,Paramater A,Parameter B,Paramater A,Parameter B,KL0,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up
Rate Reach Profiles,VDSL HSI 8a,ALL,6SNR_8D_1INP_8a,,,VDSL2,8a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL2 DSLAMS,VDSL HSI 12a,ALL,6SNR_8D_1INP_12a,,,VDSL2,12a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL HSI 17a,ALL,6SNR_8D_1INP_17a,,,VDSL2,17a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 8a,ALL,9SNR_8x5D_2INP_8a,,,VDSL2,8a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 12a,ALL,9SNR_8x5D_2INP_12a,,,VDSL2,12a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,VDSL IPTV 17a,ALL,9SNR_8x5D_2INP_17a,,,VDSL2,17a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,ADSL2+ ForceBack PTM,ALL,6SNR_8D_1INP_2+,,,ADSL2+,-,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,ADSL2+ ForceBack ATM,ALL,6SNR_8D_1INP_2+ATM,,,ADSL2+,-,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPBO,VDSL HSI 8a,ALL,6SNR_8D_1INP_8a_UPBO,,,VDSL2,8a,Interleaved,Startup,Startup,,,150000,96000,32,32,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,1,Disabled,Enabled,Disabled,Disabled,Max INP,Max INP,53.00,16.20,54.00,10.20,40.00,0.00,40.00,0.00,No Force,150000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
